 portfolio_name,sedol,invariant_id,sec_desc,market,currency,country,sector,subsector,industry,subindustry
MSACIMIUSD,B3D32T9,Z915NQKL1,FLUIDIGM,USA,USD,USA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
MSACIMIUSD,B3D7K31,Z915NQMN5,DISCOVERY COMMS.'A',USA,USD,USA,Consumer Discretionary,Media,Media,Broadcasting
MSACIMIUSD,B3DF767,Z915NQRF7,SEWOONMEDICAL,KOR,KRW,KOR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
MSACIMIUSD,B3DGKJ4,Z915NQS09,WABCO INDIA,IND,INR,IND,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
MSACIMIUSD,B3F1KC0,Z915NQZW1,REDKNEE SOLUTIONS,CAN,CAD,CAN,Information Technology,Software & Services,Software,Application Software
MSACIMIUSD,B3F2324,Z915NR031,VIEWORKS,KOR,KRW,KOR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MSACIMIUSD,B60NRB0,Z915NR4N3,TATA MOTORS 'A',IND,INR,IND,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
MSACIMIUSD,B3K3XR7,Z915NRBU9,TSC AUTO ID TECHNOLOGY,TWN,TWD,TWN,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
MSACIMIUSD,B3KHQ81,Z915NRH66,WOWPRIME,TWN,TWD,TWN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
MSACIMIUSD,B3KKGQ8,Z915NRJ56,VIRTUS INVESTMENT PTNS.,USA,USD,USA,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
MSACIMIUSD,B3KRMP0,Z915NRLN4,KOREA DISTRICT HEATING,KOR,KRW,KOR,Utilities,Utilities,Electric Utilities,Electric Utilities
MSACIMIUSD,B3KT2S9,Z915NRMD5,HANSAE,KOR,KRW,KOR,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
MSACIMIUSD,B3KTPM4,Z915NRMP8,NEWALTA,CAN,CAD,CAN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
MSACIMIUSD,B3L2NF1,Z915NS4Y7,MEDY-TOX,KOR,KRW,KOR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
MSACIMIUSD,BNGK510,Z915NS7F5,PERFORMANCE SPORTS GROUP,CAN,CAD,USA,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
MSACIMIUSD,B3LF565,Z915NS815,HYUNDAI WIA,KOR,KRW,KOR,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
MSACIMIUSD,BHR3R21,Z915NS849,WSP GLOBAL,CAN,CAD,CAN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
