 invariant_id,quote_type,quote_value,currency
Z913Y12Y1,COMPMC,        1392262254.589998,USD
Z913Y12Y1,PCLOSE,                41.529998,AUD
Z913Y12Y1,TOTRET,                -0.001202,AUD
Z913Y12Y1,TRDVOL,            234315.000000,AUD
Z913Y1312,COMPMC,        9126640133.399450,USD
Z913Y1312,PCLOSE,                 7.130000,AUD
Z913Y1312,TOTRET,                -0.005455,AUD
Z913Y1312,TRDVOL,           3893006.000000,AUD
Z913Y1320,COMPMC,        1145185281.152470,USD
Z913Y1320,PCLOSE,                 1.055000,AUD
Z913Y1320,TOTRET,                -0.044969,AUD
Z913Y1320,TRDVOL,           5843016.000000,AUD
Z913Y1338,COMPMC,        3269320353.125362,USD
Z913Y1338,PCLOSE,                11.260001,AUD
Z913Y1338,TOTRET,                -0.005920,AUD
Z913Y1338,TRDVOL,           1903263.000000,AUD
Z913Y1346,COMPMC,         909068475.268655,USD
Z913Y1346,PCLOSE,                 1.170000,AUD
Z913Y1346,TOTRET,                 0.004292,AUD
Z913Y1346,TRDVOL,           2584588.000000,AUD
Z913Y1353,COMPMC,        4116901723.437956,USD
Z913Y1353,PCLOSE,                 3.390000,AUD
Z913Y1353,TOTRET,                -0.011491,AUD
Z913Y1353,TRDVOL,           5777434.000000,AUD
Z913Y1379,COMPMC,        1793101055.322464,USD
Z913Y1379,PCLOSE,                 8.300000,AUD
Z913Y1379,TOTRET,                 0.012195,AUD
Z913Y1379,TRDVOL,           2311573.000000,AUD
Z913Y1387,COMPMC,        6068504460.938173,USD
Z913Y1387,PCLOSE,                 8.710000,AUD
Z913Y1387,TOTRET,                -0.027711,AUD
Z913Y1387,TRDVOL,           4937067.000000,AUD
Z913Y1395,COMPMC,       14369011875.000402,USD
Z913Y1395,PCLOSE,                65.929992,EUR
Z913Y1395,TOTRET,                -0.011099,EUR
Z913Y1395,TRDVOL,            704014.000000,EUR
Z913Y13A2,COMPMC,       10588812539.062795,USD
Z913Y13A2,PCLOSE,                90.399993,EUR
Z913Y13A2,TOTRET,                -0.001215,EUR
Z913Y13A2,TRDVOL,           2453863.000000,EUR
Z913Y13B0,COMPMC,       13052092820.801145,USD
Z913Y13B0,PCLOSE,                72.190002,EUR
Z913Y13B0,TOTRET,                -0.011095,EUR
Z913Y13B0,TRDVOL,            290391.000000,EUR
Z913Y13C8,COMPMC,        8572971761.718989,USD
Z913Y13C8,PCLOSE,                51.139999,EUR
Z913Y13C8,TOTRET,                -0.005445,EUR
Z913Y13C8,TRDVOL,            285785.000000,EUR
Z913Y13E4,COMPMC,        1322059375.305212,USD
Z913Y13E4,PCLOSE,                19.660003,EUR
Z913Y13E4,TOTRET,                -0.009820,EUR
Z913Y13E4,TRDVOL,             78779.000000,EUR
Z913Y13F1,COMPMC,      195070418648.442962,USD
Z913Y13F1,PCLOSE,               108.250000,EUR
Z913Y13F1,TOTRET,                -0.008245,EUR
Z913Y13F1,TRDVOL,           5754723.000000,EUR
Z913Y13H7,COMPMC,       37688271551.425201,USD
Z913Y13H7,PCLOSE,                 8.960000,BRL
Z913Y13H7,TOTRET,                -0.038626,BRL
Z913Y13H7,TRDVOL,          75046816.000000,BRL
Z913Y13J3,COMPMC,       19952926693.945487,USD
Z913Y13J3,PCLOSE,                14.890001,BRL
Z913Y13J3,TOTRET,                 0.012236,BRL
Z913Y13J3,TRDVOL,           8842199.000000,BRL
Z913Y13K0,COMPMC,       39316929918.857063,USD
Z913Y13K0,PCLOSE,                24.649993,BRL
Z913Y13K0,TOTRET,                -0.020660,BRL
Z913Y13K0,TRDVOL,           9042801.000000,BRL
Z913Y13L8,COMPMC,       47190807268.187805,USD
Z913Y13L8,PCLOSE,                30.470001,BRL
Z913Y13L8,TOTRET,                -0.008460,BRL
Z913Y13L8,TRDVOL,          10579102.000000,BRL
Z913Y13M6,COMPMC,       15159453238.782161,USD
Z913Y13M6,PCLOSE,                 7.420000,BRL
Z913Y13M6,TOTRET,                 0.005420,BRL
Z913Y13M6,TRDVOL,          18788800.000000,BRL
Z913Y13N4,COMPMC,        1910293059.504819,USD
Z913Y13N4,PCLOSE,                 5.390000,BRL
Z913Y13N4,TOTRET,                -0.023550,BRL
Z913Y13N4,TRDVOL,           7060699.000000,BRL
Z913Y13P9,COMPMC,        1422684478.812677,USD
Z913Y13P9,PCLOSE,                 3.829999,BRL
Z913Y13P9,TOTRET,                -0.005194,BRL
Z913Y13P9,TRDVOL,           9786699.000000,BRL
Z913Y13Q7,COMPMC,        3787747503.294264,USD
Z913Y13Q7,PCLOSE,                33.529998,BRL
Z913Y13Q7,TOTRET,                -0.025857,BRL
Z913Y13Q7,TRDVOL,           1224100.000000,BRL
Z913Y13R5,COMPMC,        8307791585.754906,USD
Z913Y13R5,PCLOSE,                16.500000,BRL
Z913Y13R5,TOTRET,                -0.000605,BRL
Z913Y13R5,TRDVOL,          10777000.000000,BRL
Z913Y13S3,COMPMC,         936294179.988209,USD
Z913Y13S3,PCLOSE,                 6.479999,BRL
Z913Y13S3,TOTRET,                 0.023696,BRL
Z913Y13S3,TRDVOL,           5001000.000000,BRL
Z913Y13U8,COMPMC,       18443355988.626117,USD
Z913Y13U8,PCLOSE,                17.850006,BRL
Z913Y13U8,TOTRET,                -0.004461,BRL
Z913Y13U8,TRDVOL,            969700.000000,BRL
Z913Y13W4,COMPMC,        1053217271.915528,USD
Z913Y13W4,PCLOSE,                12.210000,BRL
Z913Y13W4,TOTRET,                -0.041601,BRL
Z913Y13W4,TRDVOL,           1545800.000000,BRL
Z913Y13X2,COMPMC,         841235752.847804,USD
Z913Y13X2,PCLOSE,                 7.119999,BRL
Z913Y13X2,TOTRET,                -0.016574,BRL
Z913Y13X2,TRDVOL,           1036900.000000,BRL
Z913Y13Z7,COMPMC,         486533474.712185,USD
Z913Y13Z7,PCLOSE,                 8.600000,BRL
